name,movies,teleplay,all,award,1,2,3,4,4以后,剧情,奇幻,动作,犯罪,喜剧,爱情,悬疑,家庭,儿童,同性,惊悚,动画,冒险,传记,恐怖,西部,战争,武侠,古装,历史,灾难,NULL,音乐,运动,戏曲,科幻,黑色电影,脱口秀,歌舞,真人秀,情色,鬼怪,短片,舞台艺术,劇情 Drama
梁朝伟,3,0,3,22,3,0,0,0,0,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
孙红雷,3,0,3,7,2,1,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
古天乐,3,0,3,5.5,1,2,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黄奕,4,0,4,0,0,0,2,1,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钟汉良,2,2,4,0,3,0,0,1,0,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高云翔,1,1,2,0,0,1,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
李光洁,3,2,5,0,0,1,0,0,4,4,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
叶璇,2,1,3,1.5,1,0,0,0,2,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
甘婷婷,2,5,7,0,1,3,0,0,3,6,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
王思雅,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
林雪,12,0,12,0,0,1,4,0,7,3,1,3,4,7,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
林家栋,4,0,4,3.5,0,1,0,1,2,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
肖聪,2,0,2,0,0,0,0,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
王紫逸,5,0,5,0.5,0,0,1,0,4,4,1,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成泰燊,4,0,4,0.5,1,0,0,0,3,2,0,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
