name,movies,teleplay,all,award,1,2,3,4,4以后,剧情,动作,犯罪,喜剧,爱情,悬疑,同性,惊悚,传记,古装,动画,历史,战争,奇幻,冒险,家庭,儿童,科幻,武侠,灾难,歌舞,恐怖,NULL,运动,音乐,戏曲,情色,黑色电影,西部,鬼怪,舞台艺术,真人秀,脱口秀,短片
孙红雷,2,0,2,7,2,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
古天乐,4,0,4,5.5,3,1,0,0,0,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
黄奕,2,0,2,0,0,0,2,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钟汉良,2,2,4,0,3,0,0,1,0,2,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高云翔,2,0,2,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
李光洁,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
叶璇,1,1,2,1.5,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
甘婷婷,1,5,6,0,2,2,0,0,2,4,1,2,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
王思雅,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
林雪,9,0,9,0,0,0,0,3,6,1,3,5,5,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
林家栋,4,0,4,3.5,0,2,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
肖聪,1,2,3,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
王紫逸,4,1,5,0.5,1,0,0,0,4,3,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成泰燊,4,0,4,0.5,1,0,0,0,3,3,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
卢海鹏,11,1,12,0,0,0,0,1,11,7,4,6,3,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
张兆辉,5,1,6,2,1,0,0,0,5,3,4,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吴廷烨,2,1,3,0,0,0,0,0,3,3,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
姜皓文,6,2,8,3,0,0,0,1,7,5,5,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
李菁,1,3,4,0,0,0,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
郭涛,4,0,4,0,0,0,1,1,2,3,2,2,1,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
谭凯,1,3,4,1,0,0,1,0,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
郝平,1,4,5,0,1,1,0,1,2,5,1,2,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿雅,1,1,2,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
